user_id,command,session_t,accuracy,mean_rms,dur_var,inter_attempt_gap,false_neg_count,n_attempts,dataset
GRABMyo_p1,DOUBLE,1,1.0,0.14607107815955137,0.19779339040648256,0.6025390625,0,7,GRABMyo v1.1.0
GRABMyo_p1,DOUBLE,2,1.0,0.19532612421053308,0.13446913272846558,0.67578125,0,7,GRABMyo v1.1.0
GRABMyo_p1,DOUBLE,3,1.0,0.13127582835790474,0.257206680235289,0.5966796875,0,7,GRABMyo v1.1.0
GRABMyo_p1,LONG,1,0.8571428571428571,0.032067588443078845,0.3424926427664923,0.853515625,0,7,GRABMyo v1.1.0
GRABMyo_p1,LONG,2,0.2857142857142857,0.05023701937161192,0.3589297255647823,0.75,0,7,GRABMyo v1.1.0
GRABMyo_p1,LONG,3,0.42857142857142855,0.033577833117388795,0.05459194513661993,1.017578125,0,7,GRABMyo v1.1.0
GRABMyo_p1,SHORT,1,0.7142857142857143,0.03882055398116054,0.20809628160222743,0.34228515625,1,7,GRABMyo v1.1.0
GRABMyo_p1,SHORT,2,1.0,0.06906380448935547,0.4857650703876603,0.31103515625,0,7,GRABMyo v1.1.0
GRABMyo_p1,SHORT,3,0.42857142857142855,0.04130199148201515,0.5075763447191284,0.54541015625,0,7,GRABMyo v1.1.0
GRABMyo_p2,DOUBLE,1,1.0,0.11787183321205899,0.5907682533232028,0.81494140625,0,7,GRABMyo v1.1.0
GRABMyo_p2,DOUBLE,2,1.0,0.08650940541577948,0.16193450957252517,0.46533203125,0,7,GRABMyo v1.1.0
GRABMyo_p2,DOUBLE,3,0.7142857142857143,0.08045011286081052,0.12004384237016644,0.53125,0,7,GRABMyo v1.1.0
GRABMyo_p2,LONG,1,0.5714285714285714,0.05087603685958186,0.4390113992092771,1.2529296875,1,7,GRABMyo v1.1.0
GRABMyo_p2,LONG,2,0.14285714285714285,0.032869765528674835,0.1585608515394628,0.4091796875,6,7,GRABMyo v1.1.0
GRABMyo_p2,LONG,3,0.0,0.027510933676928594,0.03972747776302898,0.74658203125,1,7,GRABMyo v1.1.0
GRABMyo_p2,SHORT,1,0.42857142857142855,0.06798770999258401,0.7365930314540949,2.3779296875,0,7,GRABMyo v1.1.0
GRABMyo_p2,SHORT,2,1.0,0.09908191960898519,0.48484043895216805,0.81787109375,0,7,GRABMyo v1.1.0
GRABMyo_p2,SHORT,3,0.8571428571428571,0.06153445561377808,0.572939701586811,0.51123046875,1,7,GRABMyo v1.1.0
GRABMyo_p3,DOUBLE,1,1.0,0.14055243222231426,0.0833011526324133,2.23583984375,0,7,GRABMyo v1.1.0
GRABMyo_p3,DOUBLE,2,1.0,0.1495311307886724,0.03750425819523815,1.32958984375,0,7,GRABMyo v1.1.0
GRABMyo_p3,DOUBLE,3,0.8571428571428571,0.09614951422830399,0.04851950224059159,1.91064453125,0,7,GRABMyo v1.1.0
GRABMyo_p3,LONG,1,0.2857142857142857,0.027737082246218327,0.1376592773843946,1.64404296875,1,7,GRABMyo v1.1.0
GRABMyo_p3,LONG,2,0.2857142857142857,0.03381587467915543,0.13778070002445056,2.841796875,1,7,GRABMyo v1.1.0
GRABMyo_p3,LONG,3,0.8571428571428571,0.03145566780480159,0.056267920502965446,3.64794921875,1,7,GRABMyo v1.1.0
GRABMyo_p3,SHORT,1,1.0,0.0340520825412565,0.125475757280977,1.88818359375,0,7,GRABMyo v1.1.0
GRABMyo_p3,SHORT,2,0.8571428571428571,0.04378250878167828,0.02051458444510186,3.298828125,1,7,GRABMyo v1.1.0
GRABMyo_p3,SHORT,3,0.7142857142857143,0.03804955660253575,0.14730711897130686,0.82470703125,2,7,GRABMyo v1.1.0
GRABMyo_p4,DOUBLE,1,1.0,0.28193390078320024,0.11224055836764707,1.63330078125,0,7,GRABMyo v1.1.0
GRABMyo_p4,DOUBLE,2,0.7142857142857143,0.17264626772051614,0.06123248621145003,1.7705078125,0,7,GRABMyo v1.1.0
GRABMyo_p4,DOUBLE,3,0.0,0.08802624363661625,0.08320925202783243,2.6103515625,0,7,GRABMyo v1.1.0
GRABMyo_p4,LONG,1,0.8571428571428571,0.04674806655138768,0.3193509992902472,0.892578125,0,7,GRABMyo v1.1.0
GRABMyo_p4,LONG,2,0.8571428571428571,0.04178710877115639,0.46581416304348344,0.6181640625,1,7,GRABMyo v1.1.0
GRABMyo_p4,LONG,3,1.0,0.030134854551697877,0.4835639982513739,0.55224609375,0,7,GRABMyo v1.1.0
GRABMyo_p4,SHORT,1,0.2857142857142857,0.04729614879673311,0.07630679939099719,2.0087890625,1,7,GRABMyo v1.1.0
GRABMyo_p4,SHORT,2,0.2857142857142857,0.04167028372258717,0.08910054013556462,1.4716796875,1,7,GRABMyo v1.1.0
GRABMyo_p4,SHORT,3,0.0,0.023522280507918734,0.4858330522116782,0.75341796875,0,7,GRABMyo v1.1.0
